DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2025,ES,141,ES52,1,2698.95892,1,1,1
2025,ES,142,ES52,1,1493.60144,1,1,1
2025,ES,143,ES52,1,1048.42738,1,1,1
2025,ES,144,ES52,1,2051.66561,1,1,1
2025,ES,145,ES52,1,1156.33770,1,1,1
2025,ES,146,ES52,1,1019.31284,1,2,1
2025,ES,147,ES52,1,1246.31587,1,2,1
2025,ES,148,ES52,1,1143.98055,1,2,1
2025,ES,149,ES52,1,2028.56752,1,2,1
2025,ES,151,ES52,1,1072.11982,1,2,1
2025,ES,152,ES52,1,1448.28271,1,2,1
2025,ES,154,ES52,1,1681.02085,1,2,1
2025,ES,155,ES52,1,1134.65863,1,2,1
2025,ES,156,ES52,1,473.36645,1,2,1
2025,ES,157,ES52,1,784.08177,1,2,1
2025,ES,158,ES52,1,969.76938,1,2,1
2025,ES,159,ES52,1,832.80340,1,2,1
2025,ES,160,ES52,1,935.60867,1,2,1
2025,ES,161,ES52,1,612.05135,1,2,1
2025,ES,162,ES52,1,814.08706,1,1,1
2025,ES,163,ES52,1,1277.30185,1,1,1
2025,ES,164,ES52,1,281.76808,1,1,1
2025,ES,165,ES52,1,911.49136,1,1,1
2025,ES,166,ES52,1,1052.85405,1,1,1
2025,ES,167,ES52,1,1265.63705,1,1,1
2025,ES,168,ES52,1,921.33915,1,1,1
2025,ES,169,ES52,1,920.62295,1,1,1
2025,ES,170,ES52,1,359.10258,1,1,1
2025,ES,171,ES52,1,1836.32752,1,1,1
2025,ES,172,ES52,1,1317.21629,1,1,1
2025,ES,173,ES52,1,767.65807,1,1,1
2025,ES,174,ES52,1,1558.25068,1,1,1
2025,ES,175,ES52,1,1036.16972,1,2,1
2025,ES,176,ES52,1,1522.19707,1,1,1
2025,ES,177,ES52,1,297.29473,1,1,1
2025,ES,178,ES52,1,1316.44593,1,1,1
2025,ES,179,ES52,1,1006.49137,1,1,1
2025,ES,180,ES52,1,644.07828,1,1,1
2025,ES,181,ES52,1,744.83201,1,1,1
2025,ES,182,ES52,1,1217.81819,1,1,1
2025,ES,183,ES52,1,1284.29794,1,1,1
2025,ES,184,ES52,1,1011.41160,1,1,1
2025,ES,185,ES52,1,2136.02084,1,1,1
2025,ES,186,ES52,1,893.94344,1,1,1
2025,ES,187,ES52,1,1161.38622,1,1,1
2025,ES,188,ES52,1,816.76403,1,1,1
2025,ES,190,ES52,1,844.44550,1,1,1
2025,ES,191,ES52,1,828.49102,1,1,1
2025,ES,192,ES52,1,906.47706,1,1,1
2025,ES,193,ES52,1,798.91778,1,1,1
2025,ES,194,ES52,1,3037.74243,1,1,1
2025,ES,195,ES52,1,999.51477,1,1,1
2025,ES,196,ES52,1,1245.24025,1,1,1
2025,ES,197,ES52,1,1226.01560,1,1,1
